PLT001 	Calculate a course intercept 
PLT002 	Calculate aircraft performance - airspeed 
PLT003 	Calculate aircraft performance - center of gravity 
PLT004 	Calculate aircraft performance - climb / descent / maneuvering 
PLT005 	Calculate aircraft performance - density altitude 
PLT006 	Calculate aircraft performance - glide 
PLT007 	Calculate aircraft performance - IAS 
PLT008 	Calculate aircraft performance - landing 
PLT009 	Calculate aircraft performance - turbine temperatures (MGT, EGT, ITT, T4, etc) / torque / horsepower 
PLT010 	Calculate aircraft performance - STAB TRIM 
PLT011 	Calculate aircraft performance - takeoff 
PLT012 	Calculate aircraft performance - time/speed/distance/course/fuel/wind 
PLT013 	Calculate crosswind / headwind components 
PLT014 	Calculate distance / bearing to a station 
PLT015 	Calculate flight performance / planning - range 
PLT016 	Calculate fuel - dump time / weight / volume / quantity / consumption 
PLT017 	Calculate L/D ratio 
PLT018 	Calculate load factor / stall speed / velocity / angle of attack 
PLT019 	Calculate pressure altitude 
PLT020 	Calculate turbulent air penetration 
PLT021 	Calculate weight and balance 
PLT022 	Define Aeronautical Decision Making (ADM) 
PLT023 	Define altitude - absolute / true / indicated / density / pressure 
PLT024 	Define atmospheric adiabatic process 
PLT025 	Define Bernoulli`s principle 
PLT026 	Define ceiling 
PLT027 	Define coning 
PLT028 	Define crewmember 
PLT029 	Define critical phase of flight 
PLT030 	Define false lift 
PLT031 	Define isobars / associated winds 
PLT032 	Define MACH speed regimes 
PLT033 	Define MEA / MOCA / MRA 
PLT034 	Define stopway / clearway 
PLT035 	Define Vne / Vno 
PLT036 	Interpret a MACH meter reading 
PLT037 	Interpret a Radar Weather Report / National Convective Weather Forecast 
PLT038 	Interpret aircraft Power Schedule Chart 
PLT039 	Interpret airport landing indicator 
PLT040 	Interpret airspace classes - charts / diagrams 
PLT041 	Interpret altimeter - readings / settings 
PLT042 	Interpret Constant Pressure charts / Isotachs Chart 
PLT043 	Interpret Analysis Heights / Temperature Chart 
PLT044 	Interpret ATC communications / instructions / terminology 
PLT045 	Interpret Descent Performance Chart 
PLT046 	Interpret drag ratio from charts 
PLT047 	Interpret/Program Flight Director/FMS/Automation - modes / operation / indications / errors 
PLT048 	Interpret Hovering Ceiling Chart 
PLT049 	Interpret ILS - charts / RMI / CDI / indications 
PLT050 	Interpret information on a Brake Energy Limit Chart 
PLT051 	Interpret information on a Convective Outlook 
PLT052 	Interpret information on a Departure Procedure Chart 
PLT053 	Interpret information on a Flight Plan 
PLT054 	Interpret information on a Glider Performance Graph 
PLT055 	Interpret information on a High Altitude Chart 
PLT056 	Interpret information on a Horizontal Situation Indicator (HSI) 
PLT057 	Interpret information on a Hot Air Balloon Performance Graph 
PLT058 	Interpret information on a Low Altitude Chart 
PLT059 	Interpret information on a METAR / SPECI report 
PLT060 	Interpret information on a Performance Curve Chart 
PLT061 	Interpret information on a PIREP 
PLT062 	Interpret information on a Pseudo-Adiabatic Chart / K Index / Lifted Index 
PLT064 	Interpret information on a Sectional Chart 
PLT065 	Interpret information on a Service Ceiling Engine Inoperative Chart 
PLT066 	Interpret information on a Convective Outlook Chart 
PLT067 	Interpret information on a SIGMET 
PLT068 	Interpret information on a Significant Weather Prognostic Chart 
PLT069 	Interpret information on a Slush/Standing Water Takeoff Chart 
PLT070 	Interpret information on a Stability Chart 
PLT071 	Interpret information on a Surface Analysis Chart 
PLT072 	Interpret information on a Terminal Aerodrome Forecast (TAF) 
PLT073 	Interpret information on a Tower Enroute Control (TEC) 
PLT074 	Interpret information on a Velocity/Load Factor Chart 
PLT075 	Interpret information on a Weather Depiction Chart 
PLT076 	Interpret information on a Winds and Temperatures Aloft Forecast (FB) 
PLT077 	Interpret information on an Airport Diagram 
PLT078 	Interpret information in a Chart Supplements U.S. 
PLT079 	Interpret information on an Airways Chart 
PLT080 	Interpret information on an Arrival Chart 
PLT081 	Interpret information on an Aviation Area Forecast (FA) 
PLT082 	Interpret information on an IFR Alternate Airport Minimums Chart 
PLT083 	Interpret information on an Instrument Approach Procedures (IAP) 
PLT084 	Interpret information on an Observed Winds Aloft Chart 
